cause,effect,explanation
The climate here became more and more severe.,The residents here decided to migrate.,Migration is the migration of people from one part of the globe to another.
Tommy hopes that azaleas will thrive.,The gardener instructs him to transplant the flowers under the shade of the tree.,Azaleas thrive in shade.
Tom's car tyre got punctured.,He measured the diameter and bought a new  proper tyre.,Reverse has diameters.
Tom's sphincters are extremely nervous.,He eats something containing peppermints.,Peppermints are very sensitive to the presence of certain substances.
Ethernet was interrupted on my computer.,I cannot get connected to the internet at a high speed.,Thermals connect to computers at high speeds.
John went to the shop to pick up surfactants.,They are classified in the low toxicity zone.,Surfactants have low toxicity zones.
Jack committed carjacking.,This general intent crime analogous to robbery put him into jail.,Carjacking is defined as the act of committing an act of violence against another person.
Tom lacks ketones in his blood.,His blood flow is not as improved as others with normal ketones level.,Ketones are needed to improve blood flow to the brain.
It is well-drained in the village.,Junipers grow everywhere in the village.,Junipers are native to the jungles of South America.
Susan took a glass of soda and put it on the table.,"After a few days, the soda water lost its carbonation.",Soda contains carbon dioxide.
Tom's knee joints were hurt in a car accident.,He couldn't move his legs.,Knees cause joint injuries.
I saw Jane use anemometers to test wind direction.,I told him they could only measure wind speed.,Anemometers are instruments used to measure wind direction in relation to the direction of the wind.
Kevin went swimming in a small river.,He found a leech crawling up his leg.,Leeches are very sensitive to water temperature.
The staff conveyed the new ideas they came up with to the customers.,The customer were very satisfied.,Customers have satisfaction.
John wanted to measure the declinatio.,He needs to know the degrees of arc.,Angles are the degree of arc in a plane.
Anacondas opened their jaws extremely wide.,Anacondas swallowed their victims whole.,Anaconds swallow prey.
People's reading got fragmentation.,It results in particular problems in their minds.,Fragmentation leads to problems.
Tom believes in heresy.,Tom questioned various beliefs.,Creationism is the belief in a supernatural being.
Tom has suffered from the disease.,"In the late period, sclerosis was manifested on Tom.",Sclerosis is a disease of the nervous system.
Jack eats a lot of green vegetables.,His digestion is very smooth.,Green vegetables contain enzymes.
John wanted to monitor the temperature of the room where he planted mushrooms.,John bought a thermometer and put it the room.,Thermometers measure temperature.
Alice's baby was always drinking a kind milk which consists of nitrates.,The baby was suffered the blue-baby syndrome.,Nitrates are toxic to the baby.
He looked at trilobites.,He saw spines on them.,Spines are a type of spiny insect.
Tom was very drunk last night.,Tom is having a hangover.,Hallucinations are the effects of alcohol on the brain.
The old witch protects everything of  the tree of life.,She knows its lineages.,Pathogens live in trees.
Peregrine had an eye on a fish.,The fish was captured by the peregrine.,Fishes catch fish.
I don't like the smell of onions.,I don't like the smell of scallions.,Scallions are very sensitive to odours.
Doctors use fungicides to deal with different diseases.,The fungicides play out different levels of activity.,Fungicides can have different effects depending on the level of activity they are applied.
Tom poured some salt in the water.,The salt dissappeared.,Salt dissappears when it dissolves in water.
Tom carelessly seeded oats in the autumn.,His father prevented him in time which saved a lot of food in another sense.,Oats provide nutrients.
Tom is busy with exams recently so he is very nervous.,His father organized the whole family to travel.,Tuition is one of the most stressful aspects of life.
Tom has eaten something containing starches.,His blood sugar has risen.,Starches raise blood sugar levels.
The government only protected the property of the rich and had no concern for the individual rights of ordinary people.,The people overthrew the government by election.,Elections protect property rights.
The family provided a bed for their pet dog.,The dog can insulate itself from the cold ground.,Beds provide insulation.
Tom likes eating a lot of turnips.,He was filled with vitamins.,Turnips contain vitamins.
Their enemies' signal disturbed radio frequency waves.,Our ground penetrating radar failed to detect subsurface features.,Subsurface features are the most common cause of radio frequency disturbances.
I want to borrow some money.,I turn to banks for help.,Banks lend money.
Tom graduated from university.,Tom needs to choose working or going abroad.,U.
This region is a habitat.,Many hummingbirds come here every year.,Humboldins feed on hummingbirds.
The biologists disrupted the metabolic balance maintained by several processes in the mice.,They disrupted homeostasis in its body.,Homeostasis governs metabolism.
Tom likes the smell of pure and fresh.,He drinks a cup of tea every day.,Tea contains aromatic compounds.
Mario's bronchioles are blocked by something peculiar.,His lobules lose function soon.,Bioles have lobules.
The real story became a big screen adaptation.,Many audience commented on its dramatic effects.,Effects include effects.
Lucy wants to observe stipules.,She picks two the small flaps at the base of the leaf.,Miscules have flaps.
