The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychosomatic phenomena are the physical manifestation of a new mental state.
The bank raised interest on savings to attract the public. The number of citizens coming to the bank to make deposits has increased.,Interest is the price banks pay to encourage people to save at the bank.,Deposits are a way of attracting the public to deposit money.
Jack leaves Beijing. Jack suffered from disassociation mentally.,Disassociation is the mental separation of person from place.,Disassociation is a mental illness characterized by the inability to distinguish between one's own thoughts from another.
Scientists have collected a lot of invertebrates. Scientist can cleary classify them.,Scientists classify invertebrates based on their structure.,Invertebrates are classified by their ability to cleate themselves.
Logan put some neodymium into a beaker of liquid magnesium. The neodymium dissolved.,Neodymium is soluble in liquid magnesium.,Nemium is a silvery-white powder with a very high concentration of silvery carbonate.
Tom has seen two spruces. He found that they reached the same height.,Spruces have same height.,Spruces reach heights.
Tom was suffered a strange skin disease. The doctor suggested that he should take use of the phytotherapy and buy some medicine containing natural plants.,Phytotherapy denotes treatment with medications produced from natural plant products.,Phytotherapy is used to treat a wide range of skin diseases.
John went to the zoo to see the theropods. He took a lot of pictures of different animals.,Theropods are a diverse group.,Zoos have many different kinds of animals.
Linda always pays her debt in time. She has good credits.,Credit is the deferral of the payment of any debt.,Credit is a measure of the amount of time a person has spent on a given activity.
He has a need for heating. He bought a heater.,Heaters serve purposes.,Homes have electrical outlets.
Lucy smelt the ladybugs. She found the  foul-tasting liquid from their limbs smelly.,Ladybugs also have the ability to release foul-tasting liquid from their limbs.,Ladybugs are very sensitive to the smell of foul-smelling liquids in their bodies.
"Tom bought a bulb two years ago. Recently, it has entered the flowering stage.",Bulbils take about two years to reach bloom stage.,Lamps produce light.
"Tom bought a plaster to treat the rash. He applied it on his back, hands and feet.",Rashes occur in arious places on the body.,Rashes are caused by a bacterial infection of the skin.
Tanager belongs to sparrow. Tanager is fed on worms.,Tanagers eat insects.,Sparrows are omnivores.
Mary is a feminist. Mary devotes herself in feminism course.,Feminism is the mind the body the soul.,Feminism is a movement of women who believe in the equal rights of all people under the law.
They encountered an incident. They looked for the protocols for explaination.,Incidents follow proper protocols.,Protocols provide explanations.
A couple of parents are looking for their lost child. Someone offered clues accoding to the photo they posted online.,Citizens post photos.,Censorship is the process of hiding evidence from the public.
Tom is a transsexual. The  reassignment expressed his perceived inner identities.,Transsexuals say they undergo reassignment mainly to express their perceived inner identities.,Transsexuals are people who identify as male or female.
The racers entered the deceleration phase. Bob decreased the speed to 50km/h.,Deceleration is the decrease of velocity.,Deceleration is the rate at which a vehicle accelerates from one point to another in a straight line.
My pet was infected by microscopic animals called coccidia. It had Coccidiosis.,Coccidiosis is caused by microscopic animals called coccidia.,Coccidioids are microscopic animals with a very small number of macrophages on the surface of their.
There are few tree on the mountain. This mountain often has mudslides.,Mudslides result when a lack of vegetation fails to hold rainfall into the soil.,Mud is a common cause of mudslide in the central part of the country.
Mario introduces his topic through a presentation while Mary just gives a speech orally. Mario draws more attention.,Presentation draws further attention.,Presentation is the process of bringing attention to an issue by making it appear as though it is being spoken.
Women's health care is valued in the country. Contraception is advocated here.,Contraception is absolutely basic to women's health care.,Contraception helps prevent pregnancy in women who are at increased risk of developing a sexually transmitted infection.
The identity of the dead body should be clarified. The police will carry deep investigations.,Investigations lead to identification.,Necessity is the responsibility of the person who dies.
The technician set  wrong computer commands. The robot can't work properly.,Robots require computer commands.,Wired is used to control a computer.
