Villagers suffered painful life when there was a heavy flood in the village. They went to the church for prays.,Prayer takes places.,Prayers are the prayer of the people who have lost their homes.
Tom hated his neighbor for a long time. He beat up his neighbor violently.,Hate causes violence.,Racism is defined as the abuse of another person in the name of self-defense.
Adequate nutrients were provided for his body. The synthesis processes were normal in his body.,Body can also synthesize when all nutrients are available.,Nutrition is the process of synthesizing all the essential amino acids in the food chain.
Tom is not very clear about one point in class. Tom's teacher ask him to reread the textbook.,Textbooks provide further details.,Textbooks provide examples.
Lucy is a secretary of the chairman of the famous factory. She enjoys the right of having a rest at weekends.,Secretaries shall have rights.,Holidays are a time when people enjoy a break from their busy lives.
Mary wanted to see giraffes. She went to the zoo.,Zoos have giraffes.,Giraffes live in zoos.
The boss wants the building to be more stable. He took use of slabs.,Buildings have slab construction.,Slabs are used as roofing material in buildings.
Tom is a student majoring in the paleozoology. He mainly studies about fossil remains of animals.,Paleozoology is the study of fossil remains of animals.,Paleozoology is the study of the process of fossilization over millions of years.
Tom was bitten by a viper in the wild. Tom had edema and erythema on his arm.,Vipers are poisonous snakes.,Vipers are a type of blood-sucking disease caused by a fungus called Viremia.
Tom wants to be the winner in the Olympic Games. He was injected with some depressants.,Depressants act as stimulants during episodes.,Suffocation is a common cause of death in people who suffer from anaphylaxis.
Tom took no medicine to cure his fever. He finally has something wrong with his airway.,Inflammation occurs in the airways as the body tries to battle the infections.,Fever is caused by a lack of oxygen in the airways.
Lucy has taken a lot of antidepressants. She found trazodone is the most effective one.,Trazodone is chemically different from other antidepressants.,Tazodone can block the effects of many anxiolytic drugs such as rituximab.
Rum's car was damaged. Rum's repairman said it was a normal usage loss.,Usage causes damage.,Rim is a term used to describe the amount of damage caused by a vehicle's internal combustion engine.
Tom puts the zooplankton into the big fish tank with small fish. Zooplankton disappears.,Zooplankton feeds small fish.,Zooplions are one of the smallest of all the small fish groups on the planet.
Biologists had observed many mammals. They found that they visited families.,Mammals visit families.,Mammals spend a great deal of time with their family members.
She bought a comb. She used the teeth of it to clear up her hair.,Combs have teeth.,Cuffs have teeth.
Tom knows he's dying. Fear clutches at his heart.,Dying brings fear.,Fear is the fear of death.
The walruses were locked in an artifitial river together. The diver observed ther conatct under water sometimes.,Walruses seek out physical contact with other walruses.,Walruses are capable of communicating with one another through the open water.
Edison ruled out all kinds of unsuitable materials. Edison invented the light bulb with tungsten wire.,Exclusion results in success.,Tungsten is a non-tungsten alloy used in the manufacture of electric light bulbs.
Tom catches octopus by the sea. He failed because the octopus can always escape as fast as possible.,Octopuses have the most complex brain of all the invertebrates.,Octopuses are very sensitive to their environment.
There are ligaments in the shoulders of the human body. Shoulder bones are connected together to maintain stability.,Ligaments attach shoulder bones to each other providing stability.,Ligaments connect the shoulder bones to maintain the integrity of the upper body.
He got pneumonia. He died of it.,Pneumonia is the most common infectious disease of the lung leading to death.,Pneumonia is the leading cause of death from all causes in children under the age of five years.
This group of Pythons began to travel for their immigrant destination. They spent a long time.,Pythons are in fact rather slow animals if moving is about travelling from one place to another.,Pythons spend a lot of time in countries they have never been to.
