Monkeys know how to induce insects with sticks. They can feed themselves on insects.,Skills help animals.,"

Fungi use sticks to feed."
There is no rainfall at all here. The water cycle went to a halt here.,Rain is part of the water cycle., There is no rain in the area.
Lila was infected with amebiasis. She was uncomfortable.,Amebiasis is a parasitic infection of the large intestine., She had diarrhea.
Lucy's physical condition cannot support her to give birth to a child. Lucy's physical condition cannot support her to give birth to a child.,Miscarriage is the body's natural response to a pregnancy in trouble.,"

Lily is the mother of three children."
The copperhead snake caught a mouse. It swallowed the whole mouse.,Copperheads eat their food whole using their flexibly hinged jaws to swallow the meal.,"

Ceratophores are the most common species of snakes in North America."
Some limpets were put into a pond where algae prospered. Not soon later the rocks in the pond were super clean and bald.,Limpets eat by grazing on algae found on rock surfaces.,"

Baldness is one of the most common causes of baldness in the United States."
The climate around the iceberg changed. A lot of the ice melted.,Ice can change with the surrounding climate conditions., The sea level rose.
The  researcher wants to know the essence of grain. He analyzed the components of it.,Grain has components., He found that grains contain a number of essential amino acids.
Chris is cold in winter. He always burns firewood to keep warm.,Incineration consists of burning waste to produce energy.,"

He has a very good sense of humor."
ABC is a country with a very backward social development. There's a lot of crime in ABC.,Crime exists when society decays., It's one of the most violent countries in the world.
Many animals are searching for suitable habitats. Many of them use rivers as their habitat.,Rivers serve as suitable habitats.," In many cases, the river is used as a source of food."
Jack ate a bar of chocolate before the game. Jack was tested positive for stimulant.,Chocolate contains theobromine a stimulant similar to caffeine.,"

Jack is now out of the league."
Ceftriaxone can resist many kinds of bacteria. Doctors often prescribe this medicine to patients.,Ceftriaxone is one of the most commonly used antibiotics.,"

Symptoms include nausea, vomiting, diarrhoea, constipation, diarrhea, muscle aches,."
Critters time their reproductive cycle. The chances of their babies' survival can be maximized.,Critters time their reproductive cycle to maximize the chances of their babies' survival.,"

Pregnant women have a relatively high chance of surviving in the long term."
All citizens have the right to take a gun with them. Gunshots always happen in America.,Cities allow crime guns., Guns are used by law-abiding citizens.
Bob is a diner. He is eating bread.,Diners eat bread., He has a cup of coffee.
Wires covered by soft flexible plastic are touchable. Leads can be touched by hands.,Leads are wires covered by soft flexible plastic., Touch is a feature of the device.
Massive waves of the sea brings in tsunami. Earthquake close to sea leads to tsunami.,Quakes generate massive waves.,"

Sea-level rise is a major cause of sea level rise."
Tom had a heart attack suddenly. The utility has saved his life.,Utilities provide emergency assistance.,"

""I don't know if I'm going to be able to do it again,"" he said."
The wind here is very strong. The wind took away a lot of silt particles.,Silt is usually the easiest type of particle to be entrain by wind.,"

Silt particles are particles of water."
There was a murder case in this area. The policewomen set about investigating the case.,Policewomen have cases.,"

""I have no idea how many people were involved."
The wing on one side of the plane malfunctioned. This plane can't take off normally.,Airplanes stay up in the air because they have wings.,"

Pilots have two options."
Lucy is carrying an oxygen tank. Lucy can dive to the bottom of the sea.,Oxygen diffuses into the coelomic fluid from sea water at the skin gills.,"

Lucy dives to the top of the ocean."
Evaporation is obvious in hot Hainan Island. Hainan Island has abundant precipitation all year round.,Vapour contributes to precipitation.,"

Hainan is one of the most temperate areas in the world."
Collecting of plants from the wild were not under control. Snowdrops are threatened.,Snowdrops are threatened because of the uncontrolled collecting of plants from the wild., Snow is a major source of carbon dioxide in the atmosphere.
The food here was poisoned by mycotoxins. The food was not eatable.,Mycotoxins also pose a potential hazard to human health.,"

I had no choice but to eat the food."
Poor John hoped to start his own business. He turned to reliable proposals.,Proposals help small business.,"

""I wanted to start my own business,"" he says."
The researchers fed the mice some capsicums. Researchers found that the metabolism of mice accelerated.,Capsicum increases metabolism by immediately influencing the venous structure.,"

Capsicums contain a protein called acetyl-CoA."
